GBLUP,Adaboost,DT,SVM,RF,XGB,Skewed
0.76,0.73,0.54,0.79,0.79,0.81,No
0.74,0.74,0.55,0.78,0.76,0.79,No
0.81,0.8,0.55,0.84,0.83,0.85,No
0.79,0.78,0.55,0.83,0.81,0.83,No
0.81,0.79,0.56,0.82,0.81,0.82,No
0.83,0.77,0.54,0.84,0.83,0.83,No
0.78,0.75,0.56,0.84,0.81,0.82,No
0.79,0.76,0.54,0.81,0.79,0.81,No
0.81,0.77,0.56,0.86,0.84,0.84,No
0.77,0.77,0.54,0.81,0.79,0.82,No
0.8,0.76,0.53,0.81,0.82,0.82,Yes
0.76,0.72,0.54,0.78,0.76,0.79,Yes
0.79,0.73,0.54,0.82,0.8,0.82,Yes
0.82,0.77,0.55,0.84,0.83,0.83,Yes
0.81,0.78,0.53,0.83,0.82,0.83,Yes
0.8,0.78,0.54,0.81,0.81,0.83,Yes
0.83,0.78,0.53,0.84,0.84,0.86,Yes
0.83,0.78,0.53,0.85,0.84,0.85,Yes
0.84,0.8,0.55,0.84,0.85,0.85,Yes
0.79,0.77,0.54,0.82,0.79,0.82,Yes
